Sr. No.,Store Name,Pincode,City,District,State,Remaining Address,Raw Data,Brand Name,Company Name
42,South India Shopping Mall - Nizamabad,503003,Nizamabad,Nizamabad,Telangana,"MCH No 7-10-911, Station Road","MCH No 7-10-911, Haricharan Complex, Station Road, Nizamabad, Telangana - 503003",South India Shopping Mall,RS Brothers
43,South India Shopping Mall - Ongole,523001,Ongole,Prakasam,Andhra Pradesh,"37-1-8/5, Venkateswara Nagar","37-1-8/5, Venkateswara Nagar, Ongole, Andhra Pradesh - 523001",South India Shopping Mall,RS Brothers
44,South India Shopping Mall - Parvatipuram,535501,Parvatipuram,Parvathipuram Manyam,Andhra Pradesh,Beside RTC Complex,"Beside RTC complex, Parvatipuram, Andhra Pradesh - 535501",South India Shopping Mall,RS Brothers
45,South India Shopping Mall - Patny,500003,Secunderabad,Hyderabad,Telangana,"1-1-76 to 82, Opp Head Post Office","1-1-76 to 82, Opp. Head Post Office, Patny, Secunderabad, Telangana - 500003",South India Shopping Mall,RS Brothers
46,South India Shopping Mall - Rajahmundry,533104,Rajamahendravaram,East Godavari,Andhra Pradesh,Seshayya Metta,"2Q6F+3JJ, Seshayya Metta, Rajamahendravaram, Andhra Pradesh - 533104",South India Shopping Mall,RS Brothers
47,South India Shopping Mall - Tirupati,517501,Tirupati,Tirupati,Andhra Pradesh,"TS no. 3204, Ward no. 10","TS no. 3204, Tirupati, Andhra Pradesh - 517501",South India Shopping Mall,RS Brothers
48,South India Shopping Mall - Suchitra,500067,Hyderabad,Medchal-Malkajgiri,Telangana,"Plot no.108–133, Greenpark Avenue","Plot no. 108, 109, Greenpark Avenue, Hyderabad, Telangana - 500067",South India Shopping Mall,RS Brothers
49,South India Shopping Mall - Srikakulam,532001,Srikakulam,Srikakulam,Andhra Pradesh,"Plot no A9, G T Road","Plot no A9, D No 7-2-98, G T Road, Srikakulam, Andhra Pradesh - 532001",South India Shopping Mall,RS Brothers
50,South India Shopping Mall - Ramachandra Puram,502032,Ramachandrapuram,Sangareddy,Telangana,Sai Nagar Colony,"Sai Nagar Colony, Ramachandrapuram, Telangana 502032",South India Shopping Mall,RS Brothers
51,South India Shopping Mall - Tenali,522201,Tenali,Guntur,Andhra Pradesh,"16-2-60, Bose Rd","16-2-60, Bose Rd, Tenali, Andhra Pradesh - 522201",South India Shopping Mall,RS Brothers
52,South India Shopping Mall - Tuni,533401,Tuni,Kakinada,Andhra Pradesh,"Sri Rama Complex, GNT Rd","Sri Rama Complex, GNT Rd, Tuni, Andhra Pradesh - 533401",South India Shopping Mall,RS Brothers
53,South India Shopping Mall - Uppal,500039,Hyderabad,Medchal-Malkajgiri,Telangana,"Hanumasai Nagar, Vijayapuri Colony","South India Shooping Mall, Uppal, Hyderabad, Telangana 500039",South India Shopping Mall,RS Brothers
54,South India Shopping Mall - VIP Road (Vizag),530013,Visakhapatnam,Visakhapatnam,Andhra Pradesh,"VIP Rd, Dwaraka Nagar","VIP Rd, Visakhapatnam, Andhra Pradesh - 530013",South India Shopping Mall,RS Brothers
55,South India Shopping Mall - Vijayawada,520010,Vijayawada,Krishna,Andhra Pradesh,"27-16-210, Eluru Road","D. no. 27-16-210, Eluru Road, Vijayawada, Andhra Pradesh - 520010",South India Shopping Mall,RS Brothers
56,South India Shopping Mall - Vizianagaram,535003,Vizianagaram,Vizianagaram,Andhra Pradesh,"D.no: 21-1-97 to 98, Pool Bagh Road","D.no: 21-1-97to 98, Pool Bagh Road, Vizianagaram, Andhra Pradesh - 535003",South India Shopping Mall,RS Brothers
57,South India Shopping Mall - Visakhapatnam,530020,Visakhapatnam,Visakhapatnam,Andhra Pradesh,"28-2-48-1, Jagadamba Centre","28-2-48-1, Jagadamba Centre, Visakhapatnam, Andhra Pradesh - 530020",South India Shopping Mall,RS Brothers
1,Nalli Silk Sarees Ahmedabad,380006,Ahmedabad,Ahmedabad,Gujarat,"Abhinav Arcade, Ashram Rd, Ellis Bridge","Abhinav Arcade, Ashram Road, Ellis Bridge, Ahmedabad - 380006, India",Nalli,Nalli
2,Nalli Silk Sarees Jayanagar,560041,Bengaluru,Bengaluru,Karnataka,"46th Cross, 100 FT Ring Rd, Jayanagar","DTW Plaza, 46th Cross, 100 FT Ring Road, Jayanagar, Bengaluru - 560041, India",Nalli,Nalli
3,Nalli Silk Sarees Malleshwaram,560003,Bengaluru,Bengaluru,Karnataka,"17th Cross, Sampige Rd, Malleshwaram","No.299, 17th Cross, Sampige Road, Bengaluru - 560003, India",Nalli,Nalli
4,Nalli Silk Sarees Marathahalli,560037,Bengaluru,Bengaluru,Karnataka,Anand Nagar Layout,"No.85, Anand Nagar Layout, Bengaluru - 560037, India",Nalli,Nalli
5,Nalli Silk Sarees Ashok Nagar,560025,Bengaluru,Bengaluru,Karnataka,Magrath Road,"Magrath Road, Ashok Nagar, Bengaluru - 560025, India",Nalli,Nalli
6,Nalli Chinnasami Chetty T Nagar,600017,Chennai,Chennai,Tamil Nadu,"Nageswaran Rd, T Nagar","No.9, Nageswaran Road, Chennai - 600017, India",Nalli,Nalli
7,Nalli 100 T Nagar,600017,Chennai,Chennai,Tamil Nadu,Usman Rd,"100, Usman Rd, Chennai - 600017, India",Nalli,Nalli
8,Nalli Fashions T Nagar,600017,Chennai,Chennai,Tamil Nadu,Opp Panagal Park,"Nageswaran Road, Chennai - 600017, India",Nalli,Nalli
9,Nalli Anna Nagar,600040,Chennai,Chennai,Tamil Nadu,Second Avenue,"Anna Nagar, Chennai - 600040, India",Nalli,Nalli
10,Nalli Chrompet,600044,Chennai,Chennai,Tamil Nadu,GST Road,"GST Road, Chennai - 600044, India",Nalli,Nalli
11,Nalli Mylapore,600004,Chennai,Chennai,Tamil Nadu,Luz Church Road,"Luz Church Road, Chennai - 600004, India",Nalli,Nalli
12,Nalli Vadapalani,600026,Chennai,Chennai,Tamil Nadu,Arcot Road,"NSK Salai, Chennai - 600026, India",Nalli,Nalli
13,Nalli Adyar,600020,Chennai,Chennai,Tamil Nadu,Kasturba Nagar,"Adyar, Chennai - 600020, India",Nalli,Nalli
14,Nalli Velachery,600042,Chennai,Chennai,Tamil Nadu,Velachery Main Rd,"Velachery, Chennai - 600042, India",Nalli,Nalli
15,Nalli Coimbatore,641002,Coimbatore,Coimbatore,Tamil Nadu,"DB Road, RS Puram","DB Road, Coimbatore - 641002, India",Nalli,Nalli
16,Nalli South Extension Delhi,110049,New Delhi,New Delhi,Delhi,"Ring Road, South Ex","South Extension Part 1, New Delhi - 110049, India",Nalli,Nalli
17,Nalli Connaught Place,110001,New Delhi,New Delhi,Delhi,Inner Circle CP,"Connaught Place, New Delhi - 110001, India",Nalli,Nalli
18,Nalli Greater Kailash,110048,New Delhi,New Delhi,Delhi,GK Part 2,"Greater Kailash II, New Delhi - 110048, India",Nalli,Nalli
19,Nalli Hyderabad Begumpet,500016,Hyderabad,Hyderabad,Telangana,Sardar Patel Rd,"Begumpet, Hyderabad - 500016, India",Nalli,Nalli
20,Nalli Banjara Hills,500034,Hyderabad,Hyderabad,Telangana,Road No.10,"Banjara Hills, Hyderabad - 500034, India",Nalli,Nalli
21,Nalli Pune,411001,Pune,Pune,Maharashtra,Camp Area,"Pune - 411001, India",Nalli,Nalli
22,Nalli Mumbai Mahalaxmi,400026,Mumbai,Mumbai,Maharashtra,Bhulabhai Desai Rd,"Mumbai - 400026, India",Nalli,Nalli
23,Nalli Mumbai Goregaon,400063,Mumbai,Mumbai,Maharashtra,Oberoi Mall,"Goregaon East, Mumbai - 400063, India",Nalli,Nalli
24,Nalli Thane,400610,Thane,Thane,Maharashtra,Viviana Mall,"Thane West - 400610, India",Nalli,Nalli
25,Nalli USA Edison,8820,Edison,Middlesex,USA,Oak Tree Road,"Edison, NJ 08820, USA",Nalli,Nalli
26,Nalli USA Sunnyvale,94086,Sunnyvale,Santa Clara,USA,El Camino Real,"Sunnyvale, CA 94086, USA",Nalli,Nalli
27,Nalli Singapore,408868,Singapore,Singapore,Singapore,Serangoon Rd,Singapore 408868,Nalli,Nalli
28,Nalli London,SW19,London,London,UK,Wimbledon,"London SW19, UK",Nalli,Nalli
29,Nalli Dubai,N/A,Dubai,Dubai,UAE,Bur Dubai,"Dubai, UAE",Nalli,Nalli
30,Nalli Canada Toronto,M4Y,Toronto,Toronto,Canada,Downtown,"Toronto, Canada",Nalli,Nalli
31,Nalli Australia Sydney,2000,Sydney,Sydney,Australia,CBD,"Sydney NSW 2000, Australia",Nalli,Nalli
